id;start_date;end_date;language
1;2019-09-03T03:39:23;2019-09-02T20:47:40;FRENCH
2;2019-09-03T05:09:28;2019-09-02T14:15:38;FRENCH
3;2019-09-03T00:41:33;2019-09-02T16:05:33;ENGLISH
4;2019-09-02T13:53:24;2019-09-02T21:20:26;FRENCH
5;2019-09-02T22:52:03;2019-09-03T03:36:12;ENGLISH
6;2019-09-03T05:09:04;2019-09-03T06:26:00;ENGLISH
7;2019-09-02T14:31:23;2019-09-03T03:12:10;ENGLISH
8;2019-09-02T12:02:42;2019-09-02T20:02:51;SPANISH
9;2019-09-02T21:50:48;2019-09-03T06:15:26;SPANISH
10;2019-09-03T01:08:58;2019-09-02T22:25:13;FRENCH
